mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__C,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.6462342739105225,0.09213081646159275,0.23464879989624024,0.023766900067577857,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",3.0,0.95,30000,2,"(1, 1)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 3, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 1)}",0.8527394778521963,0.8574689338807744,0.859944054209044,0.8586844120233966,0.8570669934688956,0.8571807742868612,0.0024379392288463716,29
3.381154203414917,0.09446023118275977,0.36114864349365233,0.016777712737860048,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,40000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.851616661071784,0.857399778321132,0.8623792068512884,0.8536723319764373,0.8461558701996711,0.8542447696840625,0.0054550542106043464,33
3.5270221710205076,0.051427226223181695,0.363189172744751,0.01999814148456606,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.9,30000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.851616661071784,0.857399778321132,0.8623792068512884,0.8536723319764373,0.8461558701996711,0.8542447696840625,0.0054550542106043464,33
3.43804988861084,0.04604774646064762,0.3714611530303955,0.020289008303902473,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,30000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.851616661071784,0.857399778321132,0.8623792068512884,0.8536723319764373,0.8461558701996711,0.8542447696840625,0.0054550542106043464,33
3.3855865955352784,0.04931716801540547,0.3543069839477539,0.006262861348301202,"LinearSVC(class_weight='balanced', random_state=60)",1.0,0.95,40000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 1.0, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.851616661071784,0.857399778321132,0.8623792068512884,0.8536723319764373,0.8461558701996711,0.8542447696840625,0.0054550542106043464,33
3.667737579345703,0.16199451852104768,0.36463427543640137,0.02088836866254412,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.95,40000,3,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8511210675725813,0.8555648228532503,0.858293224839728,0.8539814941171094,0.8485841262544249,0.8535089471274186,0.0033851164909206527,37
4.039281415939331,0.1455393560240971,0.36988983154296873,0.010263835145244302,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.95,30000,3,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8511210675725813,0.8555648228532503,0.858293224839728,0.8539814941171094,0.8485841262544249,0.8535089471274186,0.0033851164909206527,37
3.8237664699554443,0.1082347126588916,0.3613680362701416,0.03905095654602179,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.9,30000,3,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8511210675725813,0.8555648228532503,0.858293224839728,0.8539814941171094,0.8485841262544249,0.8535089471274186,0.0033851164909206527,37
3.8357789516448975,0.2068095291394262,0.3703943729400635,0.02829385810344083,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.9,40000,3,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8511210675725813,0.8555648228532503,0.858293224839728,0.8539814941171094,0.8485841262544249,0.8535089471274186,0.0033851164909206527,37
3.202456331253052,0.11632149549870753,0.37161736488342284,0.021645703842480414,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,40000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8474028482067596,0.8548850472425422,0.8598248417282823,0.8536594613404472,0.8466745771758521,0.8524893551387767,0.004911253367758993,41
3.2388874530792235,0.07691868010228993,0.38674049377441405,0.017132685524331042,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,30000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8474028482067596,0.8548850472425422,0.8598248417282823,0.8536594613404472,0.8466745771758521,0.8524893551387767,0.004911253367758993,41
3.2937227725982665,0.10431575840194304,0.3789202213287354,0.013269438885633898,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,30000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8474028482067596,0.8548850472425422,0.8598248417282823,0.8536594613404472,0.8466745771758521,0.8524893551387767,0.004911253367758993,41
3.2836312294006347,0.0882503965157077,0.3794105052947998,0.016434052404626757,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,40000,3,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.8474028482067596,0.8548850472425422,0.8598248417282823,0.8536594613404472,0.8466745771758521,0.8524893551387767,0.004911253367758993,41
3.289086389541626,0.0747239854861504,0.40419974327087405,0.029949267133349618,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,40000,2,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8518038578587032,0.849354657236738,0.8532156841667122,0.8586292078193182,0.8438550162942153,0.8513716846751376,0.004833786367018114,45
3.2481626510620116,0.11228400612354288,0.34609293937683105,0.02237446423008175,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,40000,2,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 40000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8518038578587032,0.849354657236738,0.8532156841667122,0.8586292078193182,0.8438550162942153,0.8513716846751376,0.004833786367018114,45
3.4288121700286864,0.09725881162059949,0.37056422233581543,0.0350294997603299,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.9,30000,2,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8494919442324874,0.8505718878209524,0.8554941843974994,0.8565795196309657,0.844399298545603,0.8513073669255016,0.00440188896957776,47
3.333137273788452,0.06695561987263417,0.3807553291320801,0.01894881536295855,"LinearSVC(class_weight='balanced', random_state=60)",0.5,0.95,30000,2,"(1, 2)","{'clf': LinearSVC(class_weight='balanced', random_state=60), 'clf__C': 0.5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8494919442324874,0.8505718878209524,0.8554941843974994,0.8565795196309657,0.844399298545603,0.8513073669255016,0.00440188896957776,47
3.959786319732666,0.44220588806426114,0.3856058120727539,0.022187001744956608,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.9,30000,2,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.9, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8474835885556362,0.8532438424875499,0.8558453594265529,0.8567313381261782,0.8425684537437695,0.8511745164679374,0.00537892955014477,49
4.008152198791504,0.2656841489385166,0.377950382232666,0.031805115630829724,"LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear')",5.0,0.95,30000,2,"(1, 2)","{'clf': LogisticRegression(class_weight='balanced', max_iter=1000, random_state=60,
                   solver='liblinear'), 'clf__C': 5, 'tfidf__max_df': 0.95, 'tfidf__max_features': 30000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.8474835885556362,0.8532438424875499,0.8558453594265529,0.8567313381261782,0.8425684537437695,0.8511745164679374,0.00537892955014477,49
